IssueID,Title,Title_Description,FixedByID,PullRequestID
23462,Optimize allocations in IsDefinedInSourceTree hot paths,"Optimize allocations in IsDefinedInSourceTree hot paths AnalyzerRunner is showing a few allocation hot paths in `IsDefinedInSourceTree`. The primary cases are:

* 677MB (3.5%): `Symbol.IsDefinedInSourceTree` &rarr; `SourceMemberContainerTypeSymbol.Decla",sharwell,23491
23490,Optimize allocations in IsDefinedInSourceTree hot paths,"Optimize allocations in IsDefinedInSourceTree hot paths  Fix for #23462
This solutions lazy caches the SyntaxReferences array in the same way the [Children](http://source.roslyn.io/#Microsoft.CodeAnalysis.CSharp/Declarations/MergedTypeDeclaration.cs,196)",sharwell,23491
2352,VS crash during inline rename: KeyNotFoundException,"VS crash during inline rename: KeyNotFoundException **Reduced Repro**

``` C#
// In File1.cs
class Program
{
    internal void A() { } // Rename to B
    internal void B() { }
}

// In File2.cs
class Program2
{
    void M()
    {
        Pr",dpoeschl,3416
23536,"The ""Convert to interpolated string"" automated refactoring does not escape curly braces","The ""Convert to interpolated string"" automated refactoring does not escape curly braces The refactoring &quot;Convert to interpolated string&quot; does not escape the exisiting curly braces when converting concatenated strings.

Eg. the statements
int",rik-smeets,23589
23645,OperationAnalysisContext should expose a SemanticModel,"OperationAnalysisContext should expose a SemanticModel **Version Used**: 2.6.0-beta3

**Expected Behavior**:
The `OperationAnalysisContext` for analyzers working with operations should expose a `SemanticModel`.

**Actual Behavior**:
`OperationAnalys",mavasani,27922
23775,AnalyzerDependencyCheckingService.CheckForConflictsAsync results in 15 seconds of blocked UI opening Roslyn,"AnalyzerDependencyCheckingService.CheckForConflictsAsync results in 15 seconds of blocked UI opening Roslyn **Version Used**: 
Visual Studio 2017 version 15.5

**Steps to Reproduce**:
1. Open a large solution where there are analyzer diagnostics in a",mavasani,23794
23929,Add tests for lifted variables in async/iterator code,"Add tests for lifted variables in async/iterator code We do not have many tests that verify the set of variables lifted in async or iterator code. It would be good to add a bit of testing infrastructure to make that easy, and add tests. Also, this could b",gafter,23930
24018,Inferred nullability should flow into anonymous type fields,"Inferred nullability should flow into anonymous type fields The anonymous type field in the following should be declared as `string` rather than `string?`. Instead, `y.ToString()` generates a warning that `y` may be null.
```
using System.Linq;
class C",cston,33562
24135,Speculative semantic model produces different behavior for local functions,"Speculative semantic model produces different behavior for local functions  See the behavior in this test:

```csharp
        [Fact]
        public void LocalFunctionAttribute()
        {
            const string text = @""
using System;
class A :",RikkiGibson,41847
25119,xUnit crash with -1073740791,"xUnit crash with -1073740791 EditorServices2 crashed with `-1073740791` in a test run. My searching indicates that this code is actually C0000409, which is a stack buffer overflow code. Output:

```
00:11:19 Errors Roslyn.Services.Editor2.UnitTests.dll",sharwell,25681
25139,Testplan for new constraints.,"Testplan for new constraints. ## Enum constraint ##

The feature removes restrictions on use of `System.Enum` in constraints. 

- [x] langver test.
- [x] constraint is enforced - rejects types that do not derive from `System.Enum`
- [x] constraint c",OmarTawfik,25680
25244,Turning off/on decompilation doesn't take effect until you restart VS,"Turning off/on decompilation doesn't take effect until you restart VS 1. Turn on 
![image](https://user-images.githubusercontent.com/1103906/37010246-c6be0720-213e-11e8-9c3c-586d3cf39662.png)

2. _Go to definition_ for an external API
3. Close documen",sharwell,27940
25255,"""Enable Navigation to Decompiled Sources"" option only partially works in a VB.NET project","""Enable Navigation to Decompiled Sources"" option only partially works in a VB.NET project After enabling the &quot;Enable Navigation to Decompiled Sources&quot; option I attempted to Go To Definition of `.Show()` of a `System.Windows.Forms.Form` from my V",sharwell,27940
25261,Follow up on feeback on #24817,"Follow up on feeback on #24817 @alekseyts left some feedback on #24817 after it was approved and merged.
Comments should be reviewed. This bugs tracks this for 15.7 so that it doesn't get lost.",OmarTawfik,25680
25266,Inconsistent tree shape is used for initializers within IAnonymousObjectCreationOperation,"Inconsistent tree shape is used for initializers within IAnonymousObjectCreationOperation ```
        <CompilerTrait(CompilerFeature.IOperation, CompilerFeature.Dataflow)>
        <Fact()>
        Public Sub Test_01()
            Dim source =
<compil",mavasani,28005
25315,InteractivePasteCommandhandlerTests.PasteCommandWithInteractiveFormat failure,"InteractivePasteCommandhandlerTests.PasteCommandWithInteractiveFormat failure `InteractivePasteCommandhandlerTests.PasteCommandWithInteractiveFormat` failed in the signed build, https://devdiv.visualstudio.com/DevDiv/_build/index?buildId=1450639&_a=summar",sharwell,25681
2537,Object creation preselection,"Object creation preselection C# object creation preselection gets very confused in a situation like:

```
Task x = new $$
string x = ""foo""
```

because the new keyword is actually a part of the second assignment
expression. It therefore selects st",balajikris,3441
25398,Crash when awaiting a task of ref struct,"Crash when awaiting a task of ref struct Hi Roslyn team,

I'm attempting to make use of the new ref struct modifier in VS 15.6.1, and am getting hard crashes when attempting to do so.  I have verified the same behavior in VS 15.6.1 Preview 1 as well.
",VSadov,25819
25469,Add a refactoring to convert a common for-loop form to a foreach-statement.,"Add a refactoring to convert a common for-loop form to a foreach-statement. Tagging @heejaechang .

Todo:

- [x]  VB
- [x] Tests",sharwell,25747
25485,VS2017 crashes when parsing C#  Span code,"VS2017 crashes when parsing C#  Span code **Version Used**: 

Microsoft Visual Studio Enterprise 2017
Version 15.6.2

**Steps to Reproduce**:

1. Create a new Class Library (Classic Desktop) project
2. Add a NuGet package reference to System.Memor",VSadov,25819
25558,Production code changes to aid with test stabilization,"Production code changes to aid with test stabilization This pull request contains the changes to production code resulting from a larger effort to stabilize flaky tests.

* Move the listener/waiter test hooks to the workspaces layer
* Cancel pending as",sharwell,25747
25560,Block ExportProvider pollution in tests,"Block ExportProvider pollution in tests Currently many tests share instances of `ExportProvider` for efficiency purposes. This mutable type ends up containing mutable objects, and sharing across tests can cause unexpected cross-test behavior changes.

T",sharwell,25681
25566,Possible decision dag optimization: use pattern variables in place of temps,"Possible decision dag optimization: use pattern variables in place of temps One possible optimization would be to use pattern variables directly rather than using the pattern-matching temps to avoid a copy when the pattern matches.

This would probably",gafter,25739
25589,Intellisense doens't work in Attributes,"Intellisense doens't work in Attributes When typing out an Attribute, Intellisense doesn't include any available Namespaces other than those included in the System namespace.

This makes traversing Namespaces very difficult when specifying an attribute",Neme12,25622
2560,Wrong Cast is redundant with Option Strict On in VB,"Wrong Cast is redundant with Option Strict On in VB In a VB.NET project with Option Strict On the following code with += operator trigger ""Cast is redundant"" but when apply the fix, the code became broken:

``` vb
Dim b As Byte
b += CByte(1) ' IDE0004",DustinCampbell,8390
25690,"""Generate Equals"" refactorings produce non-compiling code when using indexers","""Generate Equals"" refactorings produce non-compiling code when using indexers **Version Used**: VS 15.7 Preview 2 (Roslyn 2.8.0.62716, `e205ae18`)

**Steps to Reproduce**:

1. Copy the class below into a C# source file.
2. Invoke the Quick Fix menu a",Neme12,25700
25691,Fix failure to initialize RemoteWorkspace in the out-of-process host,"Fix failure to initialize RemoteWorkspace in the out-of-process host ### Customer scenario

Visual Studio crashes as soon as a project is opened.

### Bugs this fixes

https://devdiv.visualstudio.com/DevDiv/NET%20Developer%20Experience%20Productivit",sharwell,25747
25707,"""Generate Equals"" refactorings should not include set-only properties","""Generate Equals"" refactorings should not include set-only properties **Version Used**: VS 15.7 Preview 2 (Roslyn 2.8.0.62716)

**Steps to Reproduce**:

1. Copy the class below into a C# source file.
2. Invoke the Quick Fix menu at the marked locatio",Neme12,25700
25716,[Regression] Syntax no longer shows up in Find All References if it refers to symbols outside of the project,"[Regression] Syntax no longer shows up in Find All References if it refers to symbols outside of the project **Version Used**: 
Version 15.7.0 Preview 3.0 [27523.0.d15.7]

**Steps to Reproduce**:

1. File -> New Console App (.NET Framework)
2. In `M",sharwell,25723
25731,Using Peek Definition disabled decompilation for that type,"Using Peek Definition disabled decompilation for that type **Version Used**: Visual Studio 2017.7 Preview 3 [27526.1.d15.7]

**Steps to Reproduce**:

1.  `Peek Definition` on a type defined in metadata
2.  Notice that the metadata type is not decompi",sharwell,27940
26180,Why does IOperation not expose SematicModel?,"Why does IOperation not expose SematicModel? Seems like a reasonable thing to do. @mavasani 
Maybe it should be exposed from both `OperationAnalysisContext` and `IOperation`",mavasani,27922
26305,ChangedText.GetTextChanges should not assert,"ChangedText.GetTextChanges should not assert ```csharp
[Fact]
        public void ChangedTextTests()
        {
            var text0 = SourceText.From(@""using System;
using System.Collections.Generic;
using System.Linq;
using System.Text;
using Sy",ashmind,39258
26329,"Decompilation from a VB projet produces a C# file, but then opens it in a VB workspace.","Decompilation from a VB projet produces a C# file, but then opens it in a VB workspace. For example:

![image](https://user-images.githubusercontent.com/4564579/39102067-5df62736-4655-11e8-8f97-53cbb0f3b9e5.png)

This clearly breaks everything since t",sharwell,27940
26992,"""Convert to full property"" creates field with underscore prefix","""Convert to full property"" creates field with underscore prefix When there is no custom naming style for fields, the default behavior of ""Convert to full property"" is to prefix the field with an underscore:
```c#
class C
{
    int P { get; set; }
}",wachulski,28013
27187,[Disassembly] body of method not shown after answering No and then Yes,"[Disassembly] body of method not shown after answering No and then Yes **Version Used**: 15.8 Preview 1.1

🔗 Copied from internal bug [600249](https://devdiv.visualstudio.com/DevDiv/_workitems/edit/600249).

### Steps to reproduce:

1. Create a C#",sharwell,27940
27338,Incorrect operation tree for anonymous object creation initializer with mixed assignment and non-assignment initializers,"Incorrect operation tree for anonymous object creation initializer with mixed assignment and non-assignment initializers ```
        [CompilerTrait(CompilerFeature.IOperation)]
        [Fact()]
        public void AnonymousTypeCreation_MixedInitializer",mavasani,28005
27690,Recommend 'this' inside local functions,"Recommend 'this' inside local functions ### Customer scenario
Try to type `this` inside a local function that is inside an instance method. `this` should be offered as a completion.

### Bugs this fixes
Fixes https://github.com/dotnet/roslyn/issues/27",nprad,28776
27850,NavigateToItemProvider hurts Go To File performance by providing irrelevant results,"NavigateToItemProvider hurts Go To File performance by providing irrelevant results **Version Used**: 
27813.1 d15.8 (latest dogfood build) 

**Steps to Reproduce**:

1. Open big solution like Rolslyn
2. Invoke Go To File (Ctrl+Shift+T)
3. Type a f",sharwell,27865
27874,Returning ref-like ref parameter types by ref should be allowed,"Returning ref-like ref parameter types by ref should be allowed From @tessenr in #27357

Similar problem exists with parameters' ref escape scopes:
```cs
class C
{
  static ref Span<int> M1(ref Span<int> x)
  {
    ref Span<int> q = ref x;
    re",OmarTawfik,27882
27923,Completion for `this` is always offered in anonymous functions,"Completion for `this` is always offered in anonymous functions ```c#
using System;

class Foo
{
    static void M()
    {
        Action a = () =>
        {
			$$
        };

        Action b = delegate
        {
            $$
        };",nprad,28776
27972,Escape scope errors are not consistent for different parameter types,"Escape scope errors are not consistent for different parameter types Escape scope errors are not consistent for different parameter types. Example:

```csharp
class C
{
    void M(ref int arg)
    {
        int local = default;
        arg = ref l",OmarTawfik,27882
27973,Stop calling IVsHerarchy.ParseCanonicalName if we don't need it,"Stop calling IVsHerarchy.ParseCanonicalName if we don't need it We were calling IVsHierarchy.ParseCanonicalName to get the item ID of a file, to then turn around and use that to get the folder names. In some cases, we already had the folder names so this",jasonmalinowski,27993
28091,IDE0009 misfires when using dictionary initializer syntax within LINQ expression,"IDE0009 misfires when using dictionary initializer syntax within LINQ expression Similar to #23381, except related to dictionary initializer instead of object initializer.

**Version Used**: VS 15.8.0 Preview 3 (27821.2.d15.8)

**Steps to Reproduce**:",Paxxi,28929
2830,Make AnalyzerManager public and remove its static instance for analyzer state management,Make AnalyzerManager public and remove its static instance for analyzer state management AnalyzerManager has been a source of many recent memory leaks due to it holding onto analyzer state longer than required. The primary reason for this is that currentl,mavasani,20096
2836,Declared type precedence in new operator (regression),"Declared type precedence in new operator (regression) Mentioned but not addressed in comments at CodePlex [#138](https://roslyn.codeplex.com/workitem/138).

``` csharp
bool b;
Program p = new |
b = false;
```

This results in Intellisense offering",balajikris,3441
28509,IDE0009 Add 'this' or 'Me' qualification incorrectly reported,"IDE0009 Add 'this' or 'Me' qualification incorrectly reported Starting with Visual Studio 15.8.0 Preview 3, Visual Studio has started incorrectly reporting that a variable should be prefixes with `this.` when `dotnet_style_qualification_for_method` is set",Paxxi,28929
28830,VB version of TestDuplicateConstantAttributesMetadata is locale dependent,"VB version of TestDuplicateConstantAttributesMetadata is locale dependent **Version Used**: Master

**Steps to Reproduce**:

1. Set Windows to use Swedish locale for date/time and number settings
2. restore.cmd
3. build.cmd
4. test.cmd
Alternative",Paxxi,28849
29889,Nullability mismatch is not reported for an assignment of Anonymous Types,"Nullability mismatch is not reported for an assignment of Anonymous Types ```

        [Fact]
        public void AnonymousTypes_01()
        {
            CSharpCompilation c = CreateCompilation(new[] { @""
class C
{
    static void Main()
    {}",cston,33562
29890,Missing ErrorCode.HDN_ExpressionIsProbablyNeverNull diagnostics,"Missing ErrorCode.HDN_ExpressionIsProbablyNeverNull diagnostics ```
        [Fact]
        public void AnonymousTypes_06()
        {
            var source =
@""class C
{
    static void F(string x, string y)
    {
        x = new { x, y }.x ?? x;",cston,33562
29891,Missing ErrorCode.WRN_NullReferenceReceiver warning involving anonymous type,"Missing ErrorCode.WRN_NullReferenceReceiver warning involving anonymous type ```
        // PROTOTYPE(NullableReferenceTypes): NullableWalker.VisitAnonymousObjectCreationExpression
        // should support initializers with inferred nullability.",cston,33562
29980,Type parameters declared in disabled context should have oblivious nullability,"Type parameters declared in disabled context should have oblivious nullability ```
        [Fact]
        public void Constraints_65()
        {
            var source =
@""
#nullable disable 
interface I1
{
    void F1<TF1>();
}

#nullabe enab",AlekseyTs,34797
3,Add symbol files(.pdb/source) to NuGet packages,"Add symbol files(.pdb/source) to NuGet packages It would be nice to be able to step inside Roslyn code when using NuGet packages.

This is nice guide on how to do this:
http://blog.davidebbo.com/2011/04/easy-way-to-publish-nuget-packages-with.html

<",heejaechang,3247
30086,Add support for generating current naming rules/options in the editorconfig generator,Add support for generating current naming rules/options in the editorconfig generator See the discussion here: https://github.com/dotnet/roslyn/pull/30043#discussion_r219246165. Current editorconfig file generation only handles formatting and code style o,sharwell,34440
30544,Intermittent integration test failures: BasicNavigationBar.CodeSpit and BasicNavigationBar.VerifyNavBar,Intermittent integration test failures: BasicNavigationBar.CodeSpit and BasicNavigationBar.VerifyNavBar See https://ci.dot.net/job/dotnet_roslyn/job/master/job/windows_debug_vs-integration_prtest/4564/artifact/Binaries/debug/Logs/Microsoft.VisualStudio.La,sharwell,33611
30661,Rename tracking crashed,"Rename tracking crashed The initial blame of the null reference is here:

https://github.com/dotnet/roslyn/blob/5a8dabf92d3abb17b47b9c54d33d93313dc8d725/src/EditorFeatures/Core/Implementation/RenameTracking/RenameTrackingTaggerProvider.StateMachine.cs#L",sharwell,31787
3092,"VB prettylister gets indent wrong for ""End Sub"" of a multiline lambda whose final line is a comment","VB prettylister gets indent wrong for ""End Sub"" of a multiline lambda whose final line is a comment In VB, if I have a multiline lambda whose last line is a comment, then it gets the spacing of the final ""End Sub"" incorrect.

REPRO:
![vb-prettylist](ht",mattwar,3268
30958,Contravariant parameter types with respect to nullable reference types,"Contravariant parameter types with respect to nullable reference types **Version Used**: c9c6309

**Steps to Reproduce**:

```csharp
abstract class A {
  public abstract void SetData(object value);
}

class B : A {
  public override void SetData",agocke,34718
31142,Enable FormattingAnalyzer,"Enable FormattingAnalyzer Recommend reviewing by individual commit.

Reviewers should pay particular attention to all commits that are not the large and automated application of formatting changes.",sharwell,31801
31142,Enable FormattingAnalyzer,"Enable FormattingAnalyzer Recommend reviewing by individual commit.

Reviewers should pay particular attention to all commits that are not the large and automated application of formatting changes.",sharwell,31652
3128,Use block indentation not token alignment rule for multiline lambdas,"Use block indentation not token alignment rule for multiline lambdas Fixes #3092 

There are two different ways to get token/lines to align with each other in a formatting rule.  One is to use the align tokens operation and the other is to use the block",mattwar,3268
31381,Duplicate diagnostics in error list,"Duplicate diagnostics in error list ![image](https://user-images.githubusercontent.com/10605811/49052309-23a6de80-f1a0-11e8-92c0-9cf6e9658065.png)

Found this while dogfooding the new unused expression analyzer from https://github.com/dotnet/roslyn/pull",mavasani,31794
31394,Nullability of assigned field ignored,"Nullability of assigned field ignored A null reference warning is reported for `a.F.ToString()`:
```c#
#nullable enable

class C<T> { }

class Program
{
    static void F(C<object>? x, C<object?> y)
    {
        var a = new { F = x };",cston,33562
31644,Remove OOP related feature options.,"Remove OOP related feature options. This code to make it possible to run features OOP was added around 18 months ago.  Since then there has been no issue with it.  It has also been A/B tested with no stability issues arising, and positive numbers for all",sharwell,34793
31652,Format documents in Roslyn.sln,"Format documents in Roslyn.sln This extracts the automated portion of #31142 to a separate pull request and assigns @dotnet-bot as the author of the changes.
 
I ran two sanity checks after extracting/rebasing these changes from an earlier pull request:",sharwell,31801
31743,"""Remove unused parameter"" is firing 10s of times for the same issue","""Remove unused parameter"" is firing 10s of times for the same issue ``` C#
        private static bool ShouldRouteCommandBackToVS(Guid cmdGuid, uint cmdId, bool translated, bool startsMultiKeyChord)
        {
            //Any command that wasn't trans",mavasani,31794
31820,CFG in presence of condition directives (#if ... #endif),"CFG in presence of condition directives (#if ... #endif) ```
class C
{
    int M()
    {
        int x = 0;
        int y = 0;
#if DEBUG
        y = x;
#endif
        return y;
    }
}
```

If you request a `ControlFlowGraph` for the above",mavasani,31822
31821,Revert workaround for unused value assignment/parameters analyzer in presence of conditional directives,"Revert workaround for unused value assignment/parameters analyzer in presence of conditional directives https://github.com/dotnet/roslyn/issues/31820 is the underlying reason for these false positives. For now, we will workaround this issue by bailing out",mavasani,31822
3198,"Ensure SemanticModel reports node as a default instance access rather than as a type reference, when the type reference is reclassified as such.","Ensure SemanticModel reports node as a default instance access rather than as a type reference, when the type reference is reclassified as such. Addresses DevDiv 1169533.

@VSadov, @gafter, @agocke, @jaredpar, @khyperia Please review.",RikkiGibson,41847
3232,Add features flag support to parse options,"Add features flag support to parse options CSharpParseOptions was hardcoded to reject any /features flags passed in, and any unit tests that used feature flags. This PR changes that, which is required for any future C#7 experimental language features, as",khyperia,3288
32540,A number of test scenarios utilizing Default Interface Implementations across assembly boundaries are broken due to a bug in CoreCLR,"A number of test scenarios utilizing Default Interface Implementations across assembly boundaries are broken due to a bug in CoreCLR  Here is a link to the CoreCLR issue https://github.com/dotnet/coreclr/issues/22021.

Affected tests:
```
Microsoft.Co",AlekseyTs,33548
3261,Add features flag support to parse options for VB,"Add features flag support to parse options for VB This is the VB dual of #3232

This enables ParseOptions to accept feature flags, as well as adding the corresponding check in Parser.vb.

There is a stub where flag strings can be added in ParserFeatur",khyperia,3288
32697,Need to re-analyze method groups,"Need to re-analyze method groups In `Binder.CreateConversion`, the bound method group node gets fixed to have a type (with oblivious annotations). During nullable analysis, we need to undo and re-do that with proper nullable annotation.

Note there is a",cston,35655
3287,Public API checker should ignore protected members on uninheritable types,"Public API checker should ignore protected members on uninheritable types This concerns APIs which are `protected` on `public` types which can't be inherited from by customers.  In particular:
- Types which are `sealed`
- Types whose constructors are al",gafter,3308
32911,"Test plan for ""readonly members""","Test plan for ""readonly members"" Proposal: dotnet/csharplang#1710

This issue is a place to collect test ideas and track their validation. Use the [compiler test plan](
https://github.com/dotnet/roslyn/blob/master/docs/contributing/Compiler%20Test%20Pl",RikkiGibson,34712
32911,"Test plan for ""readonly members""","Test plan for ""readonly members"" Proposal: dotnet/csharplang#1710

This issue is a place to collect test ideas and track their validation. Use the [compiler test plan](
https://github.com/dotnet/roslyn/blob/master/docs/contributing/Compiler%20Test%20Pl",RikkiGibson,34468
3295,EnC could skip next statement when active statement is commented out,"EnC could skip next statement when active statement is commented out Internally tracked as 1171881.

Repro: 
F5, comment out ""Stop"" statement, F10:

``` VB
Module Module1                
Sub Main()                          
   Stop",tmat,3527
33007,non-nullability of anonymous type properties in lambdas are messed up (part 2),"non-nullability of anonymous type properties in lambdas are messed up (part 2) here's another one:

```c#
{
	void Foo(Dictionary<string, int> _) { }
	Foo(new string[] { }.Select(e => new { e }).ToDictionary(p => p.e, p => 1)); // warning CS8620: Null",cston,33562
3303,"VS2015RC, Unhandled exception/crash in Microsoft.CodeAnalysis.Workspaces.dll","VS2015RC, Unhandled exception/crash in Microsoft.CodeAnalysis.Workspaces.dll **Reduced Repro**

``` C#
// In Class1.cs
partial class C
{
    private static void M() // Rename M to Method
    {
        M();
    }
}

// In Class2.cs
partial cla",dpoeschl,3416
33083,An invocation of a delegate to a default interface implementation goes into an infinite loop when the underlying instance is a structure,"An invocation of a delegate to a default interface implementation goes into an infinite loop when the underlying instance is a structure The underlying CLR issue is tracked here https://github.com/dotnet/coreclr/issues/22386.
A number of test scenarios a",AlekseyTs,33548
331,Allow 'is' for static classes for compatibility,"Allow 'is' for static classes for compatibility but continue to report the diagnostic if ""strict"" mode is requested.
Fixes #324

<!---
@huboard:{""order"":324.25,""milestone_order"":331,""custom_state"":""""}
-->",sharwell,28781
33111,Integration test causes Edge to launch,"Integration test causes Edge to launch Observed in https://dev.azure.com/dnceng/public/_build/results?buildId=86911

This should not be happening.

![image](https://user-images.githubusercontent.com/1408396/52242626-cc5a7400-289c-11e9-85fd-4b8181d5960",sharwell,33524
33112,Integration test causes Recycle bin to launch,"Integration test causes Recycle bin to launch Observed in https://dev.azure.com/dnceng/public/_build/results?buildId=86911

This should not be happening.

![image](https://user-images.githubusercontent.com/1408396/52242688-f744c800-289c-11e9-905c-cca9",sharwell,33524
332,Remove cancellation token from NavigateTo,"Remove cancellation token from NavigateTo NavigateTo doesn't support cancellation when computing the display properties so the cancellation token is getting removed rather than having to manually handle an OperationCanceledException.",sharwell,28781
33428,Ensure NullableWalker.InheritNullableStateOfMember is not copying state for invalid members,Ensure NullableWalker.InheritNullableStateOfMember is not copying state for invalid members `NullableWalker.InheritNullableStateOfMember` should assert the member is valid for value and target.,gafter,39301
33507,[Regression] Fix alls have started running in generated code,"[Regression] Fix alls have started running in generated code This was fixed during the Dev15 cycle, but seems to have been regressed again. 

1.
```
> git clone http://github.com/dotnet/project-system
> cd project-system
project-system> git checkout",sharwell,33515
33513,Fix failure to print test results,"Fix failure to print test results Fixes this message following a failed integration test run:

```
Unhandled Exception: System.NotSupportedException: The given path's format is not supported.
   at System.Security.Permissions.FileIOPermission.EmulateF",sharwell,33524
33514,Disable broken checksum validation,"Disable broken checksum validation The failed assertion causes tests to hang.

See #33476",sharwell,33524
33542,"One of our projects fails to build with: ""csc.exe"" exited with code -2146232797","One of our projects fails to build with: ""csc.exe"" exited with code -2146232797 I don't have any idea why this would happen, this used to build on everything except Visual Studio 2019 Preview 2, preview 1.1 worked.

_This issue has been moved from https",cston,34791
33635,We drop method group return nullability in nullability reinference,"We drop method group return nullability in nullability reinference When we reinfer a method's type based on its arguments in the nullable walker, if one of those arguments is the method group of a method, we drop the nullability of its return during type",cston,35655
33637,Method groups not inferred based on receiver type (nullable walker),"Method groups not inferred based on receiver type (nullable walker) In `NullableWalker.VisitMethodGroup`, we recompute the type of the group's receiver and then drop it on the floor.  When the method group is an argument to a generic, we will need the rec",cston,35655
33637,Method groups not inferred based on receiver type (nullable walker),"Method groups not inferred based on receiver type (nullable walker) In `NullableWalker.VisitMethodGroup`, we recompute the type of the group's receiver and then drop it on the floor.  When the method group is an argument to a generic, we will need the rec",cston,35601
33766,Settings for using directives not exported to .editorconfig,"Settings for using directives not exported to .editorconfig **Version Used**: VS2019 dogfood

**Steps to Reproduce**:

1. Open Tools -> Options
2. Configure settings on Text Editor -> C# -> Advanced for how to style using directives
    * Place 'Sys",sharwell,34440
338,Create new projects for System.Runtime.Analyzers,"Create new projects for System.Runtime.Analyzers This is the start of work to split up the FxCop analyzers into multiple packages that can ship with the APIs that they address.

Move rule CA1001 to this project. Rewrite the codefixer for it to be based",sharwell,28781
33946,Add AssertEx.EqualOrDiff,"Add AssertEx.EqualOrDiff Based on work by @AArnott in dotnet/roslyn-sdk#240.",sharwell,34440
3410,Solution crawler not triggering project analysis on project rename (after the 1st rename),"Solution crawler not triggering project analysis on project rename (after the 1st rename) 1. Create an Analyzer + Fix project (say Analyzer2) and replace the analyzer code with the below code:
   
   ``` C#
   using System.Collections.Immutable;
   us",heejaechang,3425
34122,[WIP]Bugfix: Settings for using-directives not exported to .editorconfig,"[WIP]Bugfix: Settings for using-directives not exported to .editorconfig Fixes https://github.com/dotnet/roslyn/issues/33766

At the moment both `dotnet_sort_system_directives_first` and `dotnet_separate_import_directive_groups` rules are not exported w",sharwell,34440
3414,made us to re-analyze some part of solution when assembly name have c…,"made us to re-analyze some part of solution when assembly name have c… …hanged.

Customer Impact:
User changed assembly name (hence assembly identity), but all internal visible types are not re-analyzed. which ends up us to either incorrectly not repor",heejaechang,3425
344,"Roslyn (like the native compiler) allows default(StaticType), array of static type","Roslyn (like the native compiler) allows default(StaticType), array of static type The following program shows that the Roslyn compiler (like the native compiler) allows `default(StaticType)` and allows you to create an array of a static type too. All of",sharwell,28781
34452,A workaround in TypeSymbol.ComputeImplementationForInterfaceMember might need an adjustment for Default Interface Implementations,"A workaround in TypeSymbol.ComputeImplementationForInterfaceMember might need an adjustment for Default Interface Implementations ```
                // WORKAROUND: see comment on method.
                // PROTOTYPE(DefaultInterfaceImplementation): Is",AlekseyTs,38683
34453,Implementation/usage of TypeSymbol.CheckForImplementationOfCorrespondingPropertyOrEvent might need an adjustment for Default Interface Implementations,"Implementation/usage of TypeSymbol.CheckForImplementationOfCorrespondingPropertyOrEvent might need an adjustment for Default Interface Implementations ```
            // Dev10 has some extra restrictions and extra wiggle room when finding implicit",AlekseyTs,38683
34514,Add IMethodSymbol.IsReadOnly to public API,"Add IMethodSymbol.IsReadOnly to public API This proposes adding the following public API to `IMethodSymbol`:

```cs
/// <summary>
/// Indicates whether the method is readonly, i.e.
/// whether 'this' is 'ref readonly' in the scope of the method.
///",RikkiGibson,34468
34631,SymbolTreeInfoIncrementalAnalyzerProvider does not run anymore for VSMac,"SymbolTreeInfoIncrementalAnalyzerProvider does not run anymore for VSMac **Version Used**: 
master

**Steps to Reproduce**:

1. Open a solution
2. Expect SymbolTreeInfoIncrementalAnalyzerProvider.IncrementalAnalyzer to run
3. It does not

**Expec",sharwell,34793
34720,Roslyn compiler fails on compiling for>using>try>finally>await,"Roslyn compiler fails on compiling for>using>try>finally>await **Version Used**: 
Windows 10.0.17763 Pro
Visual Studio 2017 Pro
Docker version 18.09.2, build 6247962

**Steps to Reproduce**:

1. Create NET.Core console app project with following co",cston,34791
34842,Use of unannotated unconstrained type parameter in nullable diabled code,Use of unannotated unconstrained type parameter in nullable diabled code The issue is the treatment of a reference to a (unconstrainted) type parameter that was both declared and referenced in a disabled context (without an annotation).  Such a reference,gafter,34889
34844,Unexpected different between inferred type argument nullability and explicit,"Unexpected different between inferred type argument nullability and explicit The issue regards type inference in `M3` versus `M4` below.  Both should have the same annotation for the type argument, either unannotated, or oblivious.  Which it is may depend",AlekseyTs,34797
34855,Retire ErrorCode.WRN_DotOnDefault.,"Retire ErrorCode.WRN_DotOnDefault. This existing warning is redundant with warnings produced in the nullable pass, and doesn't respect null suppression.  Remove it in favor of the new warnings.",gafter,34889
34921,Populate nullable state for struct members of interfaces and classes,"Populate nullable state for struct members of interfaces and classes Consider the following:

```csharp
#nullable enable

interface I<T>
{
    T P { get; }
}

class C<T>
{
    internal T F = default!;
}

class Program
{
    static void F1",chsienki,39365
35180,Offer codefixes on selections,"Offer codefixes on selections ## Scenario
Codefixes often don't show if code is selected as opposed to only having your cursor placed within a word.
*  **5 out of the 11 users struggled with this in user studies.** 
* One user **only** ever double-clic",petrroll,37272
35180,Offer codefixes on selections,"Offer codefixes on selections ## Scenario
Codefixes often don't show if code is selected as opposed to only having your cursor placed within a word.
*  **5 out of the 11 users struggled with this in user studies.** 
* One user **only** ever double-clic",petrroll,37196
